speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
23.7078286789043,3.02143476236275,11.75,-4.91963050701218,1.7726279154157,1,4,1103.2801532817,36.04,4.16388959838066,7.37916995855458,10.0808332767139,0,98.4056395761024,0,-8.81548220200801,1,36.7838703140663,1,1.2,-64.3080515037777,-7.09808891550588,0.25633136729021,9.97463945521931,4.78104078043811,0,2950.37916995855,
23.9499868781075,3.05939690609972,12,-4.90715962404701,1.77192749996927,1,4,1114.54935632656,36.04,4.20642069730504,7.53068552831627,10.2878217599949,0,98.3729027738077,0,-9.01935275251001,1,37.2093759651071,1,1.2,-65.9137380583034,-7.00869095926068,0.246607044930375,10.2156126080754,4.71449802608459,0,2950.53068552832,
24.1896019111397,3.09697521478859,12.25,-4.89519185379736,1.77122743732035,1,4,1125.70020923481,36.04,4.24850513098184,7.68212545490781,10.4947069056118,0,98.3401823151502,0,-9.22322330301201,1,37.6301873036367,1,1.2,-67.483561251867,-6.92284858129836,0.239217599534083,10.454626890202,4.64122902560816,0,2950.68212545491,
24.4267496677416,3.13418128388002,12.5,-4.88369497425835,1.77052772417319,1,4,1136.73624365187,36.04,4.290156228194,7.83349041037195,10.7014896316557,0,98.3074780549268,0,-9.42709385351401,1,38.0464601421454,1,1.2,-69.019087623323,-6.84013084688213,0.2328163416252,10.6915445606747,4.56143958633208,0,2950.83349041037,
24.6615023039314,3.17102613684826,12.75,-4.87263946855088,1.76982835742268,1,4,1147.66081746867,36.04,4.33138666195754,7.98478102872288,10.9081708042662,0,98.274789856151,0,-9.63096440401601,1,38.4583419029153,1,1.2,-70.5217832930093,-6.79805052889884,0.119599896310247,10.9262393422215,4.47533006222417,0,2950.98478102872,
24.893928494841,3.20752026396624,13,-4.86199824628904,1.76912933413942,1,4,1158.47712658776,36.04,4.37220849392821,8.13599790886809,11.1147512416231,0,98.2421175894214,0,-9.83483495451801,1,38.8659722368482,1,1.2,-71.993022363677,-6.65568108130727,0.408528573381474,11.1585955436029,4.38309541423051,0,2951.13599790887,
25.124093665928,3.24367365776211,13.25,-4.85174639873771,1.76843065155622,1,4,1169.1882156831,36.04,4.41263321500996,8.28714161725448,11.3212317175608,0,98.2094611323503,0,-10.03870550502,1,39.2694835848316,1,1.2,-73.4586705458163,-6.51847897978548,0.397411389768598,11.3885072572311,4.28492528716345,0,2951.28714161725,
25.3520602047818,3.2794958454982,13.5,-4.67168370876855,1.76773230705587,1,4,1179.79698805683,36.04,4.45267178255525,8.43821269026928,11.5276129648487,0,98.1768203690445,0,-10.6156864336244,1,40.3902228422746,1,1.2,-74.8449730884411,-6.33056131698061,0.549343657527603,11.6158334181803,4.18090640410232,0,2951.43821269027,
25.5778876554818,3.31499591897271,13.75,-4.49460472453899,1.76703429816004,1,4,1190.30621468395,36.04,4.4923346545008,8.58921163642267,11.733895678173,0,98.1441951896341,0,-11.2313728672487,1,41.5537578437607,1,1.2,-76.1534640087348,-5.9569568324804,1.10207575081664,11.8405770471556,4.07141795392257,0,2951.58921163642,
25.8016328972331,3.35018256190908,14,-4.33589563134519,1.76633662251922,1,4,1200.71854252547,36.04,4.5316318207421,8.74013893833544,11.9400805168517,0,98.1115854898431,0,-11.8470593008731,1,42.6865322478029,1,1.2,-77.4250980213681,-5.64997689115397,0.913609870100017,12.0627623131258,3.95682568404266,0,2951.74013893834,
26.023350308809,3.38506407516774,14.25,-3.95427552752632,1.76563927790349,1,4,1211.03650218098,36.04,4.57057283201499,8.89099505455231,12.1461681073119,0,98.0789911705972,0,-13.21461416758,1,45.104169057521,1,1.2,-78.5546671886326,-5.22987948460706,1.26119807973267,12.2823505836998,3.8373303814321,0,2951.89099505455,
26.2430919201562,3.41964839998834,14.5,-3.68283189550557,1.76494226219421,1,4,1221.26251494381,36.04,4.60916682652255,9.04178042119894,12.3521590453537,0,98.046412137666,0,-14.4292283351599,1,47.1511410877304,1,1.2,-79.5859082282689,-4.80808426962783,1.27717663572733,12.4995410427994,3.71352916572379,0,2952.0417804212,
26.4609075523664,3.45394313944732,14.75,-3.453512517332,1.7642455733763,1,4,1231.39889931485,36.04,4.64742255451893,9.19249545349847,12.558053898222,0,98.0138483013356,0,-15.6438425027399,1,49.1160841811423,1,1.2,-80.5411860411457,-4.47992551499062,1.00204010784446,12.7144686026422,3.58583886104884,0,2952.1924954535,
26.67684494709,3.4879555782958,15,-3.20611120180601,1.76354920953125,1,4,1241.44787702498,36.04,4.68534840103862,9.34314054716183,12.7638532065052,0,97.9812995761077,0,-17.1271596536253,1,51.4181422513777,1,1.2,-81.4033359533763,-4.16202754386314,0.978765381624497,12.9272378165271,3.45458280623887,0,2952.34314054716,
26.8909498863487,3.52169270132459,15.25,-3.05662134940703,1.76285316883073,1,4,1251.41157861077,36.04,4.72295240693961,9.49371607966401,12.9695574858798,0,97.9487658804241,0,-18.2543193072506,1,53.1037441013907,1,1.2,-82.2108412965671,-3.96232387039708,0.619878576012947,13.1380081850312,3.32013997499598,0,2952.49371607966,
27.1032663036047,3.55516121038819,15.5,-2.924498136262,1.76215744953065,1,4,1261.29204858324,36.04,4.76024228841089,9.64422241141752,13.1751672287125,0,97.9162471364134,0,-19.381478960876,1,54.7399657356075,1,1.2,-82.9702038104284,-3.67201435806326,0.90835062245341,13.3468630811334,3.18273995386671,0,2952.64422241142,
